|---------------------------------------------------------------------|
| This output is provided without any warranty on an as-is basis by   |
| Stefan Th. Gries <http://www.linguistics.ucsb.edu/faculty/stgries/> |
| Please cite the program as mentioned in <readme.txt>. Thanks a lot! |
|---------------------------------------------------------------------|

 Wed Dec  9 11:36:59 2020 

word.freq: frequency of the word in the corpus
obs.freq: observed frequency of the word with/in  JUEDE
exp.freq: expected frequency of the word with/in JUEDE
faith: percentage of how many instances of the word occur with/in JUEDE
relation: relation of the word to JUEDE
delta.p.constr.to.word: delta p: how much does the word/construction help guess the word?
delta.p.constr.to.word: delta p: how much does the construction help guess the word/construction?
coll.strength: index of collocational/collostructional strength: -log10 (Fisher-Yates exact, one-tailed), the higher, the stronger

words	word.freq	obs.freq	exp.freq	relation	faith	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
會出	7	1	0.02	attraction	0.14	0	0.14	1.61
誠懇	7	1	0.02	attraction	0.14	0	0.14	1.61
虧欠	7	1	0.02	attraction	0.14	0	0.14	1.61
爛到	7	1	0.02	attraction	0.14	0	0.14	1.61
鑽石	7	1	0.02	attraction	0.14	0	0.14	1.61
別人	628	6	2.21	attraction	0.01	0	0.01	1.6
那邊	178	3	0.63	attraction	0.02	0	0.01	1.59
難過	181	3	0.64	attraction	0.02	0	0.01	1.58
一群	71	2	0.25	attraction	0.03	0	0.02	1.58
服兵役	8	1	0.03	attraction	0.12	0	0.12	1.56
偶像劇	8	1	0.03	attraction	0.12	0	0.12	1.56
唯有	8	1	0.03	attraction	0.12	0	0.12	1.56
這部	8	1	0.03	attraction	0.12	0	0.12	1.56
普	8	1	0.03	attraction	0.12	0	0.12	1.56
學到	8	1	0.03	attraction	0.12	0	0.12	1.56
日本	76	2	0.27	attraction	0.03	0	0.02	1.53
這句	76	2	0.27	attraction	0.03	0	0.02	1.53
世界	190	3	0.67	attraction	0.02	0	0.01	1.52
太累	9	1	0.03	attraction	0.11	0	0.11	1.51
客服	9	1	0.03	attraction	0.11	0	0.11	1.51
昨晚	9	1	0.03	attraction	0.11	0	0.11	1.51
要選	9	1	0.03	attraction	0.11	0	0.11	1.51
貧窮	9	1	0.03	attraction	0.11	0	0.11	1.51
想生	9	1	0.03	attraction	0.11	0	0.11	1.51
煩躁	9	1	0.03	attraction	0.11	0	0.11	1.51
無法	335	4	1.18	attraction	0.01	0	0.01	1.5
婚後	81	2	0.28	attraction	0.02	0	0.02	1.48
太胖	10	1	0.04	attraction	0.1	0	0.1	1.46
此生	10	1	0.04	attraction	0.1	0	0.1	1.46
性關係	10	1	0.04	attraction	0.1	0	0.1	1.46
原配	10	1	0.04	attraction	0.1	0	0.1	1.46
恩	10	1	0.04	attraction	0.1	0	0.1	1.46
悲哀	10	1	0.04	attraction	0.1	0	0.1	1.46
學弟	10	1	0.04	attraction	0.1	0	0.1	1.46
整篇	10	1	0.04	attraction	0.1	0	0.1	1.46
難用	10	1	0.04	attraction	0.1	0	0.1	1.46
誰	349	4	1.23	attraction	0.01	0	0.01	1.45
小	355	4	1.25	attraction	0.01	0	0.01	1.42
這也	87	2	0.31	attraction	0.02	0	0.02	1.42
環境	87	2	0.31	attraction	0.02	0	0.02	1.42
一臉	11	1	0.04	attraction	0.09	0	0.09	1.42
古代	11	1	0.04	attraction	0.09	0	0.09	1.42
哪種	11	1	0.04	attraction	0.09	0	0.09	1.42
財務	11	1	0.04	attraction	0.09	0	0.09	1.42
這讓	11	1	0.04	attraction	0.09	0	0.09	1.42
鋼板	11	1	0.04	attraction	0.09	0	0.09	1.42
當作	89	2	0.31	attraction	0.02	0	0.02	1.4
ㄇ	12	1	0.04	attraction	0.08	0	0.08	1.38
小題大作	12	1	0.04	attraction	0.08	0	0.08	1.38
丟臉	12	1	0.04	attraction	0.08	0	0.08	1.38
成年	12	1	0.04	attraction	0.08	0	0.08	1.38
愧疚	12	1	0.04	attraction	0.08	0	0.08	1.38
溫馨	12	1	0.04	attraction	0.08	0	0.08	1.38
女王	94	2	0.33	attraction	0.02	0	0.02	1.36
反問	13	1	0.05	attraction	0.08	0	0.07	1.35
本肥	13	1	0.05	attraction	0.08	0	0.07	1.35
阿肥	13	1	0.05	attraction	0.08	0	0.07	1.35
哪來	13	1	0.05	attraction	0.08	0	0.07	1.35
這有	13	1	0.05	attraction	0.08	0	0.07	1.35
難免	13	1	0.05	attraction	0.08	0	0.07	1.35
談戀愛	96	2	0.34	attraction	0.02	0	0.02	1.34
不怎麼樣	14	1	0.05	attraction	0.07	0	0.07	1.32
連續	14	1	0.05	attraction	0.07	0	0.07	1.32
華人	14	1	0.05	attraction	0.07	0	0.07	1.32
買個	14	1	0.05	attraction	0.07	0	0.07	1.32
開啟	14	1	0.05	attraction	0.07	0	0.07	1.32
是不是	565	5	1.99	attraction	0.01	0	0.01	1.29
這人	15	1	0.05	attraction	0.07	0	0.06	1.29
超好	15	1	0.05	attraction	0.07	0	0.06	1.29
不算	105	2	0.37	attraction	0.02	0	0.02	1.27
不可思議	16	1	0.06	attraction	0.06	0	0.06	1.26
不正	16	1	0.06	attraction	0.06	0	0.06	1.26
車子	16	1	0.06	attraction	0.06	0	0.06	1.26
食	16	1	0.06	attraction	0.06	0	0.06	1.26
舒服	110	2	0.39	attraction	0.02	0	0.01	1.24
犯錯	17	1	0.06	attraction	0.06	0	0.06	1.24
合適	17	1	0.06	attraction	0.06	0	0.06	1.24
相差	17	1	0.06	attraction	0.06	0	0.06	1.24
需要	588	5	2.07	attraction	0.01	0	0	1.23
男方	250	3	0.88	attraction	0.01	0	0.01	1.23
可愛	111	2	0.39	attraction	0.02	0	0.01	1.23
”	114	2	0.4	attraction	0.02	0	0.01	1.21
貴	18	1	0.06	attraction	0.06	0	0.05	1.21
整個	119	2	0.42	attraction	0.02	0	0.01	1.18
一段	121	2	0.43	attraction	0.02	0	0.01	1.17
放手	20	1	0.07	attraction	0.05	0	0.05	1.17
活該	20	1	0.07	attraction	0.05	0	0.05	1.17
吃虧	21	1	0.07	attraction	0.05	0	0.04	1.15
很煩	21	1	0.07	attraction	0.05	0	0.04	1.15
這跟	21	1	0.07	attraction	0.05	0	0.04	1.15
劉女	21	1	0.07	attraction	0.05	0	0.04	1.15
娶	126	2	0.44	attraction	0.02	0	0.01	1.14
兩者	22	1	0.08	attraction	0.05	0	0.04	1.13
要給	22	1	0.08	attraction	0.05	0	0.04	1.13
無趣	22	1	0.08	attraction	0.05	0	0.04	1.13
這輩子	23	1	0.08	attraction	0.04	0	0.04	1.11
幾歲	23	1	0.08	attraction	0.04	0	0.04	1.11
算了	23	1	0.08	attraction	0.04	0	0.04	1.11
爆炸	23	1	0.08	attraction	0.04	0	0.04	1.11
最	456	4	1.6	attraction	0.01	0	0.01	1.1
以後	288	3	1.01	attraction	0.01	0	0.01	1.09
一台	24	1	0.08	attraction	0.04	0	0.04	1.09
安心	24	1	0.08	attraction	0.04	0	0.04	1.09
你講	24	1	0.08	attraction	0.04	0	0.04	1.09
高考	24	1	0.08	attraction	0.04	0	0.04	1.09
溫暖	24	1	0.08	attraction	0.04	0	0.04	1.09
他們	856	6	3.01	attraction	0.01	0	0	1.07
承受	25	1	0.09	attraction	0.04	0	0.04	1.07
玻璃	25	1	0.09	attraction	0.04	0	0.04	1.07
缺乏	25	1	0.09	attraction	0.04	0	0.04	1.07
寂寞	25	1	0.09	attraction	0.04	0	0.04	1.07
喇	25	1	0.09	attraction	0.04	0	0.04	1.07
輕視	25	1	0.09	attraction	0.04	0	0.04	1.07
正常	294	3	1.03	attraction	0.01	0	0.01	1.06
不行	139	2	0.49	attraction	0.01	0	0.01	1.06
哇	26	1	0.09	attraction	0.04	0	0.03	1.06
從母	26	1	0.09	attraction	0.04	0	0.03	1.06
簡單	298	3	1.05	attraction	0.01	0	0.01	1.05
放鬆	27	1	0.09	attraction	0.04	0	0.03	1.04
男女	303	3	1.06	attraction	0.01	0	0.01	1.03
沒差	28	1	0.1	attraction	0.04	0	0.03	1.03
依照	28	1	0.1	attraction	0.04	0	0.03	1.03
遺憾	28	1	0.1	attraction	0.04	0	0.03	1.03
太	488	4	1.72	attraction	0.01	0	0	1.02
這件	309	3	1.09	attraction	0.01	0	0.01	1.02
省	29	1	0.1	attraction	0.03	0	0.03	1.01
問號	30	1	0.11	attraction	0.03	0	0.03	1
他媽	31	1	0.11	attraction	0.03	0	0.03	0.99
好多	31	1	0.11	attraction	0.03	0	0.03	0.99
挺	31	1	0.11	attraction	0.03	0	0.03	0.99
記者	31	1	0.11	attraction	0.03	0	0.03	0.99
現代	31	1	0.11	attraction	0.03	0	0.03	0.99
這段	157	2	0.55	attraction	0.01	0	0.01	0.97
生病	32	1	0.11	attraction	0.03	0	0.03	0.97
離	32	1	0.11	attraction	0.03	0	0.03	0.97
考驗	33	1	0.12	attraction	0.03	0	0.03	0.96
恨	33	1	0.12	attraction	0.03	0	0.03	0.96
感激	33	1	0.12	attraction	0.03	0	0.03	0.96
嫖妓	33	1	0.12	attraction	0.03	0	0.03	0.96
恐怕	34	1	0.12	attraction	0.03	0	0.03	0.95
參與	34	1	0.12	attraction	0.03	0	0.03	0.95
通通	34	1	0.12	attraction	0.03	0	0.03	0.95
幸福	164	2	0.58	attraction	0.01	0	0.01	0.94
好吃	35	1	0.12	attraction	0.03	0	0.03	0.94
紅藥	35	1	0.12	attraction	0.03	0	0.03	0.94
憑	35	1	0.12	attraction	0.03	0	0.03	0.94
沒有	2547	13	8.95	attraction	0.01	0	0	0.92
還	735	5	2.58	attraction	0.01	0	0	0.92
開心	341	3	1.2	attraction	0.01	0	0.01	0.92
妳們	36	1	0.13	attraction	0.03	0	0.02	0.92
這就	36	1	0.13	attraction	0.03	0	0.02	0.92
有	6528	29	22.94	attraction	0	0	0	0.91
沒	2100	11	7.38	attraction	0.01	0	0	0.9
哪裡	174	2	0.61	attraction	0.01	0	0.01	0.9
心動	38	1	0.13	attraction	0.03	0	0.02	0.9
差距	38	1	0.13	attraction	0.03	0	0.02	0.9
最愛	38	1	0.13	attraction	0.03	0	0.02	0.9
諮商	38	1	0.13	attraction	0.03	0	0.02	0.9
心裡	176	2	0.62	attraction	0.01	0	0.01	0.89
